CustomerID,Lookalikes
C0001,"[('C0137', 0.9505582028583528), ('C0164', 0.9442196236010815), ('C0069', 0.9249483003537305)]"
C0002,"[('C0029', 0.9997596913584983), ('C0031', 0.9990004768054288), ('C0094', 0.9936268506270131)]"
C0003,"[('C0176', 0.8830641816016538), ('C0027', 0.8570588581824279), ('C0010', 0.8219262631776069)]"
C0004,"[('C0075', 0.9976739733156887), ('C0175', 0.9941759323423978), ('C0195', 0.9939830455924878)]"
C0005,"[('C0058', 0.9997935002739361), ('C0123', 0.9997001932038779), ('C0015', 0.9996821360897006)]"
C0006,"[('C0079', 0.9998846271299715), ('C0196', 0.994575701379192), ('C0117', 0.9893711282277041)]"
C0007,"[('C0140', 0.9984619655692298), ('C0085', 0.9952315770822718), ('C0125', 0.9951664804812465)]"
C0008,"[('C0179', 0.9969235488239544), ('C0081', 0.9942327178080564), ('C0090', 0.9876337366190686)]"
C0009,"[('C0192', 0.9982504925495183), ('C0177', 0.9964895789700006), ('C0083', 0.9956099858227164)]"
C0010,"[('C0142', 0.9635136045642367), ('C0027', 0.9559454416059178), ('C0029', 0.9537917690004853)]"
C0011,"[('C0023', 0.9856541096637292), ('C0100', 0.9808463339520118), ('C0141', 0.9743736710513365)]"
C0012,"[('C0041', 0.9974610375314839), ('C0045', 0.995943754487358), ('C0087', 0.9950663791642733)]"
C0013,"[('C0059', 0.9992921784690734), ('C0141', 0.9977755278539966), ('C0105', 0.9977518924118397)]"
C0014,"[('C0033', 0.9996329340122775), ('C0095', 0.9995936949484253), ('C0060', 0.9994137285151312)]"
C0015,"[('C0131', 0.9999945404002427), ('C0058', 0.9999869341705037), ('C0005', 0.9996821360897006)]"
C0016,"[('C0107', 0.9412102001661377), ('C0152', 0.8452132835632595), ('C0183', 0.8182118466924322)]"
C0017,"[('C0162', 0.9978011321579533), ('C0124', 0.9977853199555278), ('C0084', 0.99615939133611)]"
C0018,"[('C0028', 0.9854932973123336), ('C0165', 0.9854356361631624), ('C0182', 0.9851252575035939)]"
C0019,"[('C0172', 0.9867628738724933), ('C0116', 0.9571556230920014), ('C0056', 0.9265842163790499)]"
C0020,"[('C0080', 0.9998927411478067), ('C0167', 0.9996641008919857), ('C0180', 0.9994633409822429)]"
